"","x"
"858",928986
"859",945307
"860",948970
"861",952653
"862",946704
"863",932901
"864",938425
"865",949543
"866",951516
"867",954324
"868",947363
"869",932812
"870",938556
"871",949691
"872",953181
"873",953733
"874",948292
"875",933124
"876",934960
"877",949024
"878",954211
"879",956900
"880",949603
"881",936904
"882",943859
"883",953310
"884",956579
"885",957561
"886",950565
"887",936252
"888",943031
"889",954132
"890",957420
"891",956322
"892",951501
"893",936070
"894",937468
"895",954386
"896",959246
"897",957876
"898",954297
"899",940325
"900",946830
"901",958068
"902",961637
"903",959302
"904",954499
"905",940114
"906",947178
"907",958694
"908",962649
"909",960319
"910",955714
"911",937937
"912",943130
"913",959288
"914",962969
"915",963626
"916",957918
"917",942474
"918",952833
"919",961864
"920",965165
"921",964174
"922",958004
"923",942271
"924",953351
"925",963482
"926",966349
"927",964416
"928",958913
"929",941938
"930",949985
"931",962611
"932",968647
"933",968119
"934",959735
"935",943873
"936",959613
"937",965997
"938",969076
"939",968733
"940",960514
"941",943343
"942",960527
"943",966726
"944",971429
"945",969307
"946",960515
"947",944320
"948",957273
"949",967934
"950",973101
"951",970177
"952",962937
"953",949935
"954",964286
"955",970225
"956",975336
"957",971275
"958",962427
"959",949003
"960",965546
"961",970965
"962",975887
"963",971405
"964",962758
"965",947923
"966",963669
"967",972647
"968",977687
"969",973616
"970",966153
"971",953829
"972",970343
"973",976326
"974",978900
"975",973911
"976",965087
"977",953324
"978",971342
"979",976350
"980",979813
"981",975103
"982",965129
"983",951418
"984",969109
"985",975197
"986",982413
"987",977057
"988",965035
"989",959703
"990",975644
"991",978499
"992",983538
"993",976915
"994",964648
"995",959605
"996",976220
"997",978450
"998",983268
"999",978283
"1000",965070
"1001",957091
"1002",974779
"1003",980499
"1004",986460
"1005",978626
"1006",967974
"1007",964769
"1008",978728
"1009",982991
"1010",987142
"1011",979217
"1012",967001
"1013",965451
"1014",979747
"1015",983900
"1016",987228
"1017",979626
"1018",967463
"1019",962927
"1020",979326
"1021",986072
"1022",990323
"1023",982612
"1024",969836
"1025",969483
"1026",984272
"1027",987873
"1028",989447
"1029",982459
"1030",969667
"1031",970798
"1032",984383
"1033",988972
"1034",989624
"1035",982595
"1036",969412
"1037",967307
"1038",983139
"1039",991393
"1040",993089
"1041",983176
"1042",970852
"1043",976809
"1044",987346
"1045",992150
"1046",992455
"1047",984124
"1048",970753
"1049",977572
"1050",988129
"1051",992461
"1052",991776
"1053",984178
"1054",969729
"1055",973026
"1056",988889
"1057",994755
"1058",994571
"1059",984841
"1060",972718
"1061",981844
"1062",990106
"1063",996285
"1064",994722
"1065",984890
"1066",972306
"1067",982686
"1068",990646
"1069",996418
"1070",994848
"1071",984756
"1072",970666
"1073",980747
"1074",991773
"1075",998065
"1076",997192
"1077",986425
"1078",973574
"1079",987957
"1080",993633
"1081",1000014
